id,cruise,day,time,depth,prs,lat,lon,temp,sal,cs137_f,cs137_f_err,cs134_f,cs134_f_err,cs137_s,cs137_s_err,cs134_s,cs134_s_err,source
N03,Kaisan Kaiyu Maru KK-13-5,8-Sep-13,21:00,surf,1,36.50,141.00,14.7439,33.3942, 1.7 , 0.1 , bd ,, 1.6 , 0.1 , bd ,,"Ken Buesseler, unpub."
F1,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,4:15,surf,1,36.5,141.5,10.2724,33.7325, 1.8 , 0.1 , bd ,, 1.7 , 0.1 , bd ,,"Ken Buesseler, unpub."
F1 ctd,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,4:30,51.5,51.84,36.50,141.50,6.6999,33.8022, 2.0 , 0.1 , 0.9 , 0.3 , 1.9 , 0.1 , 0.4 , 0.1 ,"Ken Buesseler, unpub."
F1 ctd,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,4:30,101.9,102.65,36.50,141.50,3.2967,33.5708, 1.9 , 0.1 , bd ,, 1.8 , 0.1 , bd ,,"Ken Buesseler, unpub."
F1 ctd,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,4:30,200.5,202.11,36.50,141.50,3.2719,33.8885, 2.0 , 0.1 , bd ,, 1.9 , 0.1 , bd ,,"Ken Buesseler, unpub."
F1 ctd,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,4:30,302.3,304.74,36.50,141.50,,, 1.5 , 0.1 , 1.0 , 0.4 , 1.4 , 0.1 , 0.4 , 0.2 ,"Ken Buesseler, unpub."
F1 ctd,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,4:30,498.8,503.07,36.50,141.50,,, 1.0 , 0.1 , bd ,, 0.9 , 0.1 , bd ,,"Ken Buesseler, unpub."
N02,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,16:30,surf,1,37.00,141.50,,33.5183, 2.2 , 0.1 , 1.3 , 0.5 , 2.1 , 0.1 , 0.6 , 0.2 ,"Ken Buesseler, unpub."
RA1,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,20:20,surf,1,37.00,141.33,,33.5234, 2.1 , 0.1 , 2.2 , 0.4 , 2.0 , 0.1 , 1.0 , 0.2 ,"Ken Buesseler, unpub."
RA2,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,21:40,surf,1,37.00,141.17,,33.5381, 2.4 , 0.2 , 1.5 , 0.7 , 2.3 , 0.2 , 0.7 , 0.3 ,"Ken Buesseler, unpub."
RA3,Kaisan Kaiyu Maru KK-13-5,9-Sep-13,22:30,surf,1,37.00,141.08,,33.4698, 4.9 , 0.2 , 5.9 , 0.5 , 4.7 , 0.2 , 2.6 , 0.2 ,"Ken Buesseler, unpub."
RA3b,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,0:14,surf,1,37.25,141.08,,33.4712, 2.3 , 0.1 , 1.9 , 0.5 , 2.1 , 0.1 , 0.8 , 0.2 ,"Ken Buesseler, unpub."
NP3,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,3:00,surf,1,37.42,141.3,,33.5197, 1.7 , 0.1 , 0.3 , 0.2 , 1.6 , 0.1 , 0.2 , 0.1 ,"Ken Buesseler, unpub."
NP3 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,3:15,20.2,20.36,37.42,141.30,22.6545,33.5540, 2.0 , 0.1 , bd ,, 1.9 , 0.1 ,  bd  ,,"Ken Buesseler, unpub."
NP3 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,3:15,51.0,51.34,37.42,141.30,19.0126,33.8853, 1.9 , 0.1 , bd ,, 1.8 , 0.1 ,  bd  ,,"Ken Buesseler, unpub."
NP3 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,3:15,80.9,81.49,37.42,141.30,17.5012,33.9149, 1.9 , 0.1 , bd ,, 1.8 , 0.1 ,  bd  ,,"Ken Buesseler, unpub."
NP3 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,3:15,112.8,113.67,37.42,141.30,11.0134,33.6865, 2.3 , 0.1 , bd ,, 2.2 , 0.1 ,  bd  ,,"Ken Buesseler, unpub."
NP3 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,3:20,surf,1,37.42,141.30,,, 1.8 , 0.1 , 0.8 , 0.3 , 1.7 , 0.1 , 0.3 , 0.1 ,"Ken Buesseler, unpub."
RA4,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,8:00,surf,1,37.42,141.24,,33.5040, 2.0 , 0.1 , 0.8 , 0.3 , 1.9 , 0.1 , 0.4 , 0.1 ,"Ken Buesseler, unpub."
NP1,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,9:30,surf,1,37.42,141.18,,33.4021, 2.0 , 0.1 , 2.0 , 0.4 , 1.9 , 0.1 , 0.9 , 0.2 ,"Ken Buesseler, unpub."
NP1,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,9:35,surf,1,37.42,141.18,,, 1.7 , 0.1 , bd ,, 1.6 , 0.1 , bd ,,"Ken Buesseler, unpub."
NP1 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,9:45,19.9,20.06,37.42,141.18,21.6916,33.6655, 2.1 , 0.1 , bd ,, 2.0 , 0.1 , bd ,,"Ken Buesseler, unpub."
NP1 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,9:45,40.0,40.31,37.42,141.18,21.2640,33.7350, 2.0 , 0.1 , bd ,, 1.9 , 0.1 , bd ,,"Ken Buesseler, unpub."
NP1 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,9:45,52.3,52.70,37.42,141.18,20.7438,33.7153, 3.0 , 0.2 , 1.5 , 0.3 , 2.9 , 0.2 , 0.7 , 0.1 ,"Ken Buesseler, unpub."
